date,positive_count,positive_score,negative_count,negative_score,total_count,total_score
2016-03-29,52,0.6517307781,44,0.3463636367,96,0.4360666648
2016-03-30,109,0.6398165051,33,0.3400000009,142,0.3771428631
2016-03-31,40,0.631499994,154,0.3011038935,194,0.567714286
2016-04-01,30,0.599999992,103,0.2830097073,133,0.5673295437
2016-04-02,6,0.5299999714,64,0.2332812476,70,0.4534911252
2016-04-03,56,0.6548214225,2,0.449999988,58,0.452967033
2016-04-04,32,0.695937505,31,0.2980645157,63,0.3751724115
2016-04-05,67,0.6620895507,80,0.2612499997,147,0.537373132
2016-04-06,34,0.689117642,87,0.242758621,121,0.614509802
2016-04-07,234,0.6436324761,117,0.2508547018,351,0.5225242737
2016-04-08,64,0.582343745,125,0.332559999,189,0.5320710066
2016-04-09,1,0.5299999714,75,0.3678666682,76,0.447299267
2016-04-10,87,0.6335632178,82,0.3115853689,169,0.5142553182
2016-04-11,208,0.6459615382,137,0.2589051092,345,0.5214655177
2016-04-12,114,0.6463157885,42,0.3023809519,156,0.4530769223
2016-04-13,44,0.5763636326,10,0.4000000015,54,0.4580952312
2016-04-14,82,0.6871951201,14,0.291428574,96,0.4682258038
2016-04-15,82,0.7452439019,30,0.3719999954,112,0.5311538477
2016-04-16,11,0.6990908926,10,0.4050000012,21,0.5307058881
2016-04-17,30,0.7080000043,26,0.1780769225,56,0.4414828846
2016-04-18,85,0.6572941226,51,0.3478431347,136,0.3804895077
2016-04-19,256,0.6916406208,94,0.268085105,350,0.3503191448
2016-04-20,64,0.6360937422,105,0.2654285691,169,0.5099999756
2016-04-21,116,0.6862930995,65,0.2138461529,181,0.5277011454
2016-04-22,113,0.7008849578,36,0.2497222225,149,0.3854464298
2016-04-23,25,0.774000001,6,0.071666668,31,0.4251948045
2016-04-24,29,0.6237931046,33,0.2809090894,62,0.3495364234
2016-04-25,129,0.6904651158,67,0.3159701511,196,0.5353203323
2016-04-26,137,0.6587591223,299,0.1586287621,436,0.466618704
2016-04-27,96,0.6677083323,111,0.2448648649,207,0.5299999714
2016-04-28,169,0.6521893486,198,0.2817676747,367,0.4773372793
2016-04-29,19,0.6831578895,67,0.2840298503,86,0.4922608693
2016-05-01,24,0.7241666615,12,0.3183333303,36,0.553717948
2016-05-02,68,0.6476470565,7,0.2242857122,75,0.5437037009
2016-05-03,118,0.6854237288,142,0.2115492953,260,0.6294791654
2016-05-04,109,0.6557798079,109,0.3310091754,218,0.6452678555
2016-05-05,79,0.68987342,90,0.3133333331,169,0.559047611
2016-05-06,86,0.707209297,26,0.284999998,112,0.4619642877
2016-05-07,21,0.6995238208,77,0.1879220771,98,0.5412500021
2016-05-08,41,0.6426829245,12,0.307500001,53,0.5778857108
2016-05-09,148,0.6833108132,10,0.2749999948,158,0.4057988122
2016-05-10,155,0.6958709663,37,0.3924324346,192,0.5166298314
2016-05-11,59,0.7062711877,40,0.2557500041,99,0.591879196
2016-05-12,59,0.7122033895,27,0.2125925948,86,0.6380645172
2016-05-13,62,0.67241935,33,0.1812121193,95,0.4412903223
2016-05-14,25,0.6779999971,54,0.3118518522,79,0.5624489799
2016-05-15,38,0.664473683,10,0.4099999964,48,0.3157798157
2016-05-16,58,0.632586212,62,0.323870968,120,0.4409661831
2016-05-17,72,0.6737499974,87,0.3268965506,159,0.4523433229
2016-05-18,191,0.6438219925,129,0.2806201528,320,0.3722093008
2016-05-19,51,0.6662745102,120,0.2881666669,171,0.3183333303
2016-05-20,33,0.743333329,80,0.1994999997,113,0.6112903181
2016-05-21,5,0.7300000191,17,0.241764705,22,0.3527619037
2016-05-22,119,0.7081512588,15,0.3399999887,134,0.5152422913
2016-05-23,105,0.6592380938,45,0.2679999994,150,0.5009045178
2016-05-24,59,0.653389825,92,0.3418478294,151,0.5896190489
2016-05-25,113,0.645486727,70,0.3561428597,183,0.4619018371
2016-05-26,87,0.643218394,116,0.2649999996,203,0.5569697045
2016-05-27,129,0.7004651145,90,0.2620000011,219,0.5705882324
2016-05-28,5,0.7699999809,20,0.3574999969,25,0.6251351375
2016-05-29,13,0.6230769112,12,0.094999999,25,0.6055897433
2016-05-30,80,0.7220000088,50,0.3039999997,130,0.5512790714
2016-05-31,101,0.635445547,74,0.2889189215,175,0.5217391295
2016-06-01,134,0.6720149197,82,0.3248780483,216,0.5045689631
2016-06-02,187,0.6726737969,31,0.3680645141,218,0.6014285684
2016-06-03,64,0.6610937463,37,0.2743243243,101,0.4532999995
2016-06-05,85,0.652941173,44,0.3115909079,129,0.4491724152
2016-06-06,50,0.629799987,10,0.3919999942,60,0.4214427837
2016-06-07,136,0.6671323548,85,0.394941177,221,0.5065916418
2016-06-08,141,0.6525531902,82,0.344999997,223,0.381221374
2016-06-09,51,0.6319607824,40,0.255749998,91,0.5727999966
2016-06-10,67,0.6274626878,29,0.2524137886,96,0.4374999963
2016-06-11,11,0.5972727266,21,0.2557142881,32,0.587378047
2016-06-12,52,0.6684615291,46,0.3389130419,98,0.5110152292
2016-06-13,147,0.7214285727,105,0.2657142859,252,0.492093022
2016-06-14,110,0.6193636352,79,0.324556962,189,0.4527510923
2016-06-15,134,0.6273880565,77,0.2236363645,211,0.4493785332
2016-06-16,51,0.6213725478,95,0.3194736844,146,0.6544295283
2016-06-17,96,0.692291667,6,0.1900000051,102,0.7699999809
2016-06-18,15,0.6666666667,9,0.2699999929,24,0.3695999933
2016-06-19,66,0.63833334,41,0.299024389,107,0.5612307746
2016-06-20,50,0.6471999931,93,0.3335483899,143,0.4889142882
