date,positive_count,positive_score,negative_count,negative_score,total_count,total_score
20160104,32,0.6412499994,5,0.2919999972,37,0.4883333374
20160105,22,0.7118181749,1,0.3100000024,23,0.484210525
20160106,32,0.7656249981,2,0.2399999937,34,0.756000018
20160107,32,0.7209375016,21,0.2890476176,53,0.5033333202
20160108,60,0.656499998,19,0.2400000008,79,0.5339999914
20160109,2,0.7050000131,13,0.2569230806,15,0.6266666651
20160110,5,0.7459999919,18,0.27,23,0.3843750046
20160111,9,0.7011111114,91,0.2195604378,100,0.6025
20160112,56,0.6592857114,10,0.1679999966,66,0.567222226
20160113,13,0.693846157,9,0.175555558,22,0.6235714289
20160114,17,0.603529411,49,0.2895918397,66,0.5741666555
20160115,8,0.668750003,74,0.3201351341,82,0.6900000036
20160117,10,0.6629999995,21,0.3557142835,31,0.6299999952
20160118,10,0.6770000041,34,0.2688235296,44,0.6739999831
20160119,23,0.6243478241,10,0.3159999996,33,0.368333331
20160120,17,0.6876470587,6,0.3783333351,23,0.5833333333
20160121,9,0.674444437,11,0.225454547,20,0.7092857083
20160122,9,0.7211111122,16,0.2774999999,25,0.5016981123
20160123,3,0.6400000056,19,0.2757894738,22,0.4931707284
20160124,10,0.6790000081,14,0.2900000007,24,0.6186666664
20160125,12,0.660833329,25,0.2940000015,37,0.558600001
20160126,17,0.6835294085,4,0.2799999961,21,0.393178806
20160127,23,0.6282608665,17,0.2335294126,40,0.2574999994
20160128,96,0.603437497,14,0.2642857124,110,0.379285713
20160129,7,0.6528571333,17,0.334117647,24,0.3534482784
20160131,11,0.6890909022,166,0.3046987944,177,0.4662307674
20160201,70,0.6064285721,44,0.21159091,114,0.485
20160202,47,0.6414893587,3,0.1133333345,50,0.3803921568
20160203,75,0.6174666611,2,0.3700000048,77,0.4727777789
20160204,33,0.6360605937,124,0.3098387091,157,0.55625
20160205,20,0.6820000082,81,0.3107407416,101,0.4404761932
20160206,5,0.7599999905,64,0.2107812476,69,0.4820512808
20160207,1,0.5699999928,57,0.3166666644,58,0.4702777778
20160208,6,0.6066666742,21,0.3185714281,27,0.4404347801
20160209,11,0.7663636262,7,0.2057142896,18,0.4070588249
20160210,52,0.6707692307,25,0.3319999993,77,0.6400000056
20160211,76,0.7165789392,25,0.2439999998,101,0.5650000047
20160212,23,0.636086951,56,0.322678571,79,0.4103448263
20160213,10,0.5299999714,53,0.3228301892,63,0.4941935458
20160214,52,0.6623076946,34,0.306470587,86,0.5032499982
20160215,75,0.6460000006,7,0.3228571372,82,0.4141603037
20160216,111,0.7279279243,16,0.3593750028,127,0.2721568622
20160217,189,0.665026455,136,0.2888235292,325,0.1133333345
20160218,170,0.7086470611,61,0.2801639318,231,0.6399999949
20160219,93,0.6304301088,158,0.3453797466,251,0.41685567
20160220,2,0.625,43,0.3862790684,45,0.4321874994
20160221,150,0.6840666684,37,0.3108108111,187,0.4302158233
20160222,159,0.7023270423,9,0.1933333282,168,0.4337777718
20160223,101,0.655940595,110,0.2612727275,211,0.4958536623
20160224,128,0.698203119,95,0.2745263165,223,0.436666665
20160225,165,0.6914545485,68,0.3554411787,233,0.3411538452
20160226,59,0.663728817,86,0.2822093037,145,0.6066666742
20160227,10,0.8160000026,37,0.2137837817,47,0.4036111078
20160228,50,0.6638000011,23,0.2265217384,73,0.4902777775
20160229,24,0.7379166683,8,0.3737500049,32,0.554806197
