date,positive_count,positive_score,negative_count,negative_score,total_count,total_score
2022-11-11,1,0.5899999737739563,1,0.0399999991059303,2,0.0399999991059303
2022-11-15,4,0.6124999821186066,2,0.0649999994784593,6,0.23999999091029164
2022-11-16,3,0.6099999944368998,6,0.2333333368102709,9,0.2333333368102709
2022-11-17,1,0.5699999928474426,1,0.1500000059604644,2,0.5199999868869781
2022-11-22,1,0.5,7,0.1942857115396431,8,0.31899999640882015
2022-11-23,7,0.5485714248248509,4,0.162499994970858,11,0.24399999454617496
2022-11-29,2,0.5849999785423279,4,0.29250000044703484,6,0.29250000044703484
2022-11-30,10,0.69200000166893,4,0.26500000059604645,14,0.3120000004768372
2022-12-01,9,0.5988888872994317,6,0.383333330353101,15,0.4723076889148125
2022-12-07,2,0.7649999856948853,3,0.40666667620340985,5,0.40666667620340985
2022-12-09,1,0.5199999809265137,2,0.050000000745058,3,0.050000000745058
2022-12-11,1,0.5099999904632568,1,0.1800000071525573,2,0.1800000071525573
2022-12-18,1,0.7699999809265137,1,0.2000000029802322,2,0.2000000029802322
2022-12-20,6,0.7566666702429453,1,0.0799999982118606,7,0.0799999982118606
2022-12-25,1,0.6000000238418579,4,0.3700000047683716,5,0.4416666626930237
2022-12-26,1,0.5899999737739563,2,0.3349999934434891,3,0.6325000002980232
2023-01-02,9,0.6211111148198446,2,0.3150000050663948,11,0.547272726893425
2023-01-04,1,0.5099999904632568,1,0.1000000014901161,2,0.5433333242932955
2023-01-09,1,0.6100000143051147,3,0.1099999994039535,4,0.5199999809265137
2023-01-17,1,0.6499999761581421,1,0.050000000745058,2,0.5099999904632568
2023-01-19,1,0.5600000023841858,1,0.3799999952316284,2,0.1099999994039535
2023-01-20,1,0.5799999833106995,1,0.2800000011920929,2,0.050000000745058
2023-01-25,2,0.6150000095367432,1,0.3199999928474426,3,0.574999988079071
2023-01-26,3,0.699999988079071,6,0.2583333378036817,9,0.6885714318071093
2023-01-31,1,0.5299999713897705,1,0.1299999952316284,2,0.46000000834465027
2023-02-04,1,0.5699999928474426,1,0.25,2,0.30571428579943516
2023-02-06,1,0.5400000214576721,1,0.2800000011920929,2,0.1299999952316284
2023-02-07,1,0.5199999809265137,10,0.2519999966025352,11,0.25
2023-02-09,6,0.6616666714350382,3,0.21000000089406964,9,0.5870000034570694
2023-02-10,4,0.5799999833106995,4,0.22499999403953547,8,0.2754545414989644
2023-02-13,1,0.7200000286102295,1,0.2899999916553497,2,0.3100000042468309
2023-02-14,1,0.550000011920929,1,0.3700000047683716,2,0.22499999403953547
2023-02-15,2,0.5049999952316284,6,0.4033333361148834,8,0.2899999916553497
2023-02-16,1,0.5899999737739563,18,0.08555555550588495,19,0.3700000047683716
2023-02-17,2,0.7800000011920929,6,0.19500000216066835,8,0.4385714275496347
2023-02-18,1,0.550000011920929,6,0.16999999806284902,7,0.08555555550588495
2023-02-20,1,0.5799999833106995,4,0.25500000268220896,5,0.24714285933545654
2023-02-23,2,0.8299999833106995,1,0.3600000143051147,3,0.22857142452682763
2023-02-24,6,0.6366666654745737,1,0.0900000035762786,7,0.3750000049670537
2023-02-27,1,0.5199999809265137,3,0.233333334326744,4,0.699999988079071
2023-03-10,1,0.550000011920929,7,0.26142856904438555,8,0.3600000143051147
2023-03-13,5,0.5960000038146973,8,0.3037500008940696,13,0.0900000035762786
2023-03-14,3,0.5800000031789144,2,0.27999999374151224,5,0.30749999359250063
2023-03-15,3,0.5366666515668234,6,0.36499999711910874,9,0.26142856904438555
2023-03-17,6,0.6300000150998434,8,0.28000000026077027,14,0.5699999928474426
2023-03-19,3,0.5666666626930237,1,0.3300000131130218,4,0.5400000214576721
2023-03-21,2,0.949999988079071,7,0.3128571446452822,9,0.3277777764532301
2023-03-24,1,0.5299999713897705,2,0.24500000383704895,3,0.27999999374151224
2023-03-29,2,0.5999999940395355,1,0.0299999993294477,3,0.5133333342770735
2023-03-30,1,0.5799999833106995,2,0.08999999985098836,3,0.3799999946107467
2023-04-05,1,0.5299999713897705,4,0.3474999964237213,5,0.3300000131130218
2023-04-09,1,0.5400000214576721,2,0.4250000119209289,3,0.3637500051409006
2023-04-11,3,0.596666673819224,2,0.2249999921768903,5,0.3466666731983423
2023-04-12,1,0.5899999737739563,1,0.1199999973177909,2,0.34666666326423484
2023-04-13,1,0.5899999737739563,5,0.1600000016391277,6,0.256666657825311
2023-04-14,1,0.5400000214576721,4,0.4350000023841858,5,0.49166666467984516
2023-04-17,1,0.6299999952316284,6,0.36499998966852826,7,0.550000011920929
2023-04-18,5,0.8140000104904175,4,0.2249999996274709,9,0.4766666690508525
2023-04-23,1,0.5099999904632568,2,0.24000000208616254,3,0.2249999921768903
2023-04-24,1,0.5099999904632568,1,0.1299999952316284,2,0.1199999973177909
2023-04-26,1,0.7200000286102295,2,0.2249999931082129,3,0.3514285678310053
2023-04-27,1,0.6700000166893005,1,0.4699999988079071,2,0.5560000002384186
2023-04-28,1,0.7400000095367432,1,0.0900000035762786,2,0.3871428455625261
2023-05-02,1,0.6100000143051147,11,0.3945454562252218,12,0.2249999996274709
2023-05-07,1,0.5799999833106995,14,0.2771428561370287,15,0.24000000208616254
2023-05-08,2,0.6200000047683716,3,0.24666666239500043,5,0.1299999952316284
2023-05-11,1,0.5099999904632568,2,0.3499999940395355,3,0.2249999931082129
2023-05-12,1,0.7099999785423279,8,0.26374999294057483,9,0.4699999988079071
2023-05-15,6,0.6216666599114736,5,0.2780000030994415,11,0.550000011920929
2023-05-16,11,0.6109090826728127,3,0.3666666597127914,14,0.0900000035762786
